AlertDescription,Message,LastTriggeredDateTime,TriggeredCount,EventTypeWord,Frequency,ObjectType,Caption,IP_Address,Location,Tower,Vendor,MachineType,Environment,DC,CustomerName,TimeStamp,Alert Category
TCS_Mgmt_Ashburn_9K : Sev1 : Interface Output Errors above 5000,US Cloud : Sev1 : Network : TCS_Mgmt_ASH_9K :DC : Ashburn Device : ASHNWSTK01.us.tcscloud.com Interface : GigabitEthernet1/0/40 Output Errors : 113015 errors This Hour,4/10/2019 7:03 AM,214,Triggered,30.00 m,Interface,ASHNWSTK01.us.tcscloud.com,172.26.1.1,Ashburn,Network,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,Production,US,TCS_Mgmt_ASH_9K,4/10/2019 7:03 AM,
TCS_Mgmt_FPK_9K : Sev1 : Interface Output Errors above 5000,US Cloud : Sev1 : Network : TCS_Mgmt_FPK_9K :DC : Franklin Park Device : FPKNWSTK01.tcscloud.com Interface : TenGigabitEthernet2/1/4 Output Errors : 44838 errors This Hour,4/10/2019 8:03 AM,131,Triggered,30.00 m,Interface,FPKNWSTK01.tcscloud.com,172.26.0.1,Franklin Park,Network,Cisco,Cisco Catalyst 38xx stack,TCS Mgmt,US,TCS_Mgmt_FPK_9K,4/10/2019 6:03 AM,
TCS_Mgmt_Ashburn_9K : Sev3 : Interface Input Errors (1001 - 3000)(Mail_Only),US Cloud :  Sev3 : Network : TCS_Mgmt_ASH_9K : DC : Ashburn Device : ASHNWLEA07.us.tcscloud.com Interface : port-channel18 Input Errors per hour is 2290 errors,4/10/2019 6:03 AM,20,Triggered,30.00 m,Interface,ASHNWLEA07.us.tcscloud.com,172.26.1.29,Ashburn,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_ASH_9K,4/10/2019 6:03 AM,
PSB_9K : Sev3 : Memory Utilization above 90%,US Cloud : Sev3 : Windows : PSB : Ashburn : usaspsbwdsm001 : Memory Used is 92 %,4/10/2019 8:24 AM,5,Triggered,10.00 m,Node,usaspsbwdsm001,10.18.14.76,Ashburn,Windows,Windows,Windows 2016 Server,Production,US,PSB,4/10/2019 5:54 AM,BaNCs_Alerts
MSSP_Sev3 : File System Utilization above 90%,US Cloud - MSSP : Sev3 : Production: ARCESMASH01 : File System /opt/archive is above 90 %,4/10/2019 5:33 AM,6,Triggered,10.00 m,Volume,ARCESMASH01,10.11.22.21,Ashburn,Linux,Linux,Red Hat,Production,US,MSSP,4/10/2019 5:33 AM,MSSP_Linux
Sev2 : Major : CPU Utilization above 80%,US Cloud : Sev2 : Linux : Sensata : Ashburn : AMER : stia-obipld1.corp.sensata.com : CPU Load is 86 %,4/10/2019 5:32 AM,131,Triggered,3.00 m,Node,stia-obipld1.corp.sensata.com,10.100.20.25,Ashburn,Linux,net-snmp,net-snmp - Linux,Production,US,Sensata,4/10/2019 5:32 AM,Sensata_Alert
PSB_9K : Sev3 : Memory Utilization above 90%,US Cloud : Sev3 : Windows : PSB : Ashburn : usaspsbwdsm001 : Memory Used is 90 %,4/10/2019 8:24 AM,5,Triggered,10.00 m,Node,usaspsbwdsm001,10.18.14.76,Ashburn,Windows,Windows,Windows 2016 Server,Production,US,PSB,4/10/2019 5:14 AM,BaNCs_Alerts
TCS_Mgmt_Ashburn_9K : Sev3 : Interface Output Errors (1001-3000)(Mail_Only),US Cloud : Sev3 : Network : TCS_Mgmt_ASH_9K : DC : Ashburn Device : ASHNWLEA07.us.tcscloud.com Interface : port-channel42 Output Errors : 1657 errors This Hour,4/10/2019 5:03 AM,34,Triggered,30.00 m,Interface,ASHNWLEA07.us.tcscloud.com,172.26.1.29,Ashburn,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_ASH_9K,4/10/2019 5:03 AM,
TCS_Mgmt_Ashburn_9K : Sev3 : Interface Input Errors (1001 - 3000)(Mail_Only),US Cloud :  Sev3 : Network : TCS_Mgmt_ASH_9K : DC : Ashburn Device : ASHNWLEA07.us.tcscloud.com Interface : Ethernet1/20 Input Errors per hour is 1704 errors,4/10/2019 4:33 AM,31,Triggered,30.00 m,Interface,ASHNWLEA07.us.tcscloud.com,172.26.1.29,Ashburn,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_ASH_9K,4/10/2019 4:33 AM,
TCS_Mgmt_Ashburn_9K : Sev3 : Interface Output Errors (1001-3000)(Mail_Only),US Cloud : Sev3 : Network : TCS_Mgmt_ASH_9K : DC : Ashburn Device : ASHNWLEA07.us.tcscloud.com Interface : Ethernet1/44 Output Errors : 1657 errors This Hour,4/10/2019 4:33 AM,34,Triggered,30.00 m,Interface,ASHNWLEA07.us.tcscloud.com,172.26.1.29,Ashburn,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_ASH_9K,4/10/2019 4:33 AM,
PSB_9K : Sev3 : Memory Utilization above 90%,US Cloud : Sev3 : Windows : PSB : Ashburn : usaspsbwdsm001 : Memory Used is 90 %,4/10/2019 8:24 AM,5,Triggered,10.00 m,Node,usaspsbwdsm001,10.18.14.76,Ashburn,Windows,Windows,Windows 2016 Server,Production,US,PSB,4/10/2019 4:24 AM,BaNCs_Alerts
TCS_Mgmt_FPK_9K : Sev1 : Interface Output Errors above 5000,US Cloud : Sev1 : Network : TCS_Mgmt_FPK_9K :DC : Franklin Park Device : FPKNWSTK01.tcscloud.com Interface : TenGigabitEthernet2/1/2 Output Errors : 4087760 errors This Hour,4/10/2019 4:03 AM,24,Triggered,30.00 m,Interface,FPKNWSTK01.tcscloud.com,172.26.0.1,Franklin Park,Network,Cisco,Cisco Catalyst 38xx stack,TCS Mgmt,US,TCS_Mgmt_FPK_9K,4/10/2019 4:03 AM,
TCS_Mgmt : Sev3 :  Backup Server CPU Utilization above 80%,US Cloud : Sev3 : Windows : TCS_Mgmt_ASH_7K : Ashburn : AMER : USASHCVMA01 : CPU Load is 86 %,4/10/2019 3:34 AM,152,Triggered,10.00 m,Node,USASHCVMA01,10.106.1.101,Ashburn,Windows,Windows,Windows 2012 R2 Server,Production,US,TCS_Mgmt_ASH_7K,4/10/2019 3:34 AM,
Emeds_Sev3 : File System Utilization above 85%,US Cloud : Sev3 : Linux : eMEDS : Franklin Park : ccttecchi015 : File System /var/log is 85 %,4/10/2019 3:04 AM,32,Triggered,10.00 m,Volume,ccttecchi015,10.13.75.34,Franklin Park,Linux,Linux,Red Hat,Production,US,eMEDS,4/10/2019 3:04 AM,eMeds_Alerts
TCS_Mgmt_Ashburn_9K : Sev2 : Interface is down,US Cloud : Sev2 : Network : TCS_Mgmt_ASH_9K : Node : ASHNWLEA09.us.tcscloud.com Interface : port-channel46  is Down,4/10/2019 2:49 AM,1,Triggered,1.00 m,Interface,ASHNWLEA09.us.tcscloud.com,172.26.1.31,Ashburn,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_ASH_9K,4/10/2019 2:49 AM,
Sensata_Sev4 : File System Utilization above 80%,US Cloud : Sev4 : Linux : Sensata : Franklin Park : AMER : stic-ebsdla1.corp.sensata.com : File System /var/log is above 80 %,4/10/2019 2:49 AM,16,Triggered,4.00 m,Volume,stic-ebsdla1.corp.sensata.com,10.100.74.15,Franklin Park,Linux,net-snmp,net-snmp - Linux,Development,US,Sensata,4/10/2019 2:49 AM,Sensata_Alert
TCS_Mgmt_Ashburn_9K : Sev2 : Interface is down,US Cloud : Sev2 : Network : TCS_Mgmt_ASH_9K : Node : ASHNWLEA09.us.tcscloud.com Interface : port-channel44  is Down,4/10/2019 2:47 AM,2,Triggered,1.00 m,Interface,ASHNWLEA09.us.tcscloud.com,172.26.1.31,Ashburn,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_ASH_9K,4/10/2019 2:47 AM,
TCS_Mgmt_Ashburn_9K : Sev2 : Interface is down,US Cloud : Sev2 : Network : TCS_Mgmt_ASH_9K : Node : ASHNWLEA09.us.tcscloud.com Interface : port-channel43  is Down,4/10/2019 2:47 AM,2,Triggered,1.00 m,Interface,ASHNWLEA09.us.tcscloud.com,172.26.1.31,Ashburn,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_ASH_9K,4/10/2019 2:47 AM,
TCS_Mgmt_Ashburn_9K : Sev2 : Interface is down,US Cloud : Sev2 : Network : TCS_Mgmt_ASH_9K : Node : ASHNWLEA09.us.tcscloud.com Interface : port-channel45  is Down,4/10/2019 2:47 AM,2,Triggered,1.00 m,Interface,ASHNWLEA09.us.tcscloud.com,172.26.1.31,Ashburn,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_ASH_9K,4/10/2019 2:47 AM,
TCS_Mgmt_Ashburn_9K : Sev2 : Interface is down,US Cloud : Sev2 : Network : TCS_Mgmt_ASH_9K : Node : ASHNWLEA10.us.tcscloud.com Interface : port-channel43  is Down,4/10/2019 2:47 AM,2,Triggered,1.00 m,Interface,ASHNWLEA10.us.tcscloud.com,172.26.1.32,Ashburn,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_ASH_9K,4/10/2019 2:47 AM,
TCS_Mgmt_Ashburn_9K : Sev2 : Interface is down,US Cloud : Sev2 : Network : TCS_Mgmt_ASH_9K : Node : ASHNWLEA10.us.tcscloud.com Interface : port-channel45  is Down,4/10/2019 2:47 AM,2,Triggered,1.00 m,Interface,ASHNWLEA10.us.tcscloud.com,172.26.1.32,Ashburn,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_ASH_9K,4/10/2019 2:47 AM,
TCS_Mgmt_Ashburn_9K : Sev2 : Interface is down,US Cloud : Sev2 : Network : TCS_Mgmt_ASH_9K : Node : ASHNWLEA10.us.tcscloud.com Interface : port-channel44  is Down,4/10/2019 2:47 AM,2,Triggered,1.00 m,Interface,ASHNWLEA10.us.tcscloud.com,172.26.1.32,Ashburn,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_ASH_9K,4/10/2019 2:47 AM,
TCS_Mgmt_Ashburn_9K : Sev2 : Interface is down,US Cloud : Sev2 : Network : TCS_Mgmt_ASH_9K : Node : ASHNWLEA10.us.tcscloud.com Interface : port-channel46  is Down,4/10/2019 2:47 AM,1,Triggered,1.00 m,Interface,ASHNWLEA10.us.tcscloud.com,172.26.1.32,Ashburn,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_ASH_9K,4/10/2019 2:47 AM,
TCS_Mgmt_FPK_9K : Sev1 : Interface Output Errors above 5000,US Cloud : Sev1 : Network : TCS_Mgmt_FPK_9K :DC : Franklin Park Device : FPKNWSTK01.tcscloud.com Interface : GigabitEthernet1/0/4 Output Errors : 604715 errors This Hour,4/10/2019 2:03 AM,16,Triggered,30.00 m,Interface,FPKNWSTK01.tcscloud.com,172.26.0.1,Franklin Park,Network,Cisco,Cisco Catalyst 38xx stack,TCS Mgmt,US,TCS_Mgmt_FPK_9K,4/10/2019 2:03 AM,
TCS_Mgmt_FPK_7K_Network : Sev3 : Fabric : Interface Outbound Utilization above 80%,US Cloud : Network :  Device NA-FPK-NX7K-SW2-CLOUD-AGG2 : Interface Vlan3307 : Outbound Utilization is 85 %,4/10/2019 10:03 AM,106,Triggered,30.00 m,Interface,NA-FPK-NX7K-SW2-CLOUD-AGG2,192.168.100.3,Franklin Park,Network,Cisco,Cisco Nexus 7000 Series,,US,TCS_Mgmt_FPK_7K,4/10/2019 2:03 AM,
Alcoa_7K : Sev1 : Windows Availability,US Cloud : Sev1 : Unknown : ALCOA : Franklin Park : acc-labvm006-vb.noa.alcoa.com is Down.,4/10/2019 1:59 AM,1,Triggered,0.25 m,Node,acc-labvm006-vb.noa.alcoa.com,10.11.145.26,Franklin Park,Windows,Unknown,Unknown,DR/DEV,US,ALCOA,4/10/2019 1:59 AM,Alcoa_Alert_Console
Alcoa_7K : Sev1 : Windows Availability,US Cloud : Sev1 : Unknown : ALCOA : Franklin Park : acc-labvm007-vb.noa.alcoa.com is Down.,4/10/2019 1:58 AM,1,Triggered,0.25 m,Node,acc-labvm007-vb.noa.alcoa.com,10.11.145.27,Franklin Park,Windows,Unknown,Unknown,DR/DEV,US,ALCOA,4/10/2019 1:58 AM,Alcoa_Alert_Console
TCS_Mgmt_FPK_9K : Sev1 : Interface Output Errors above 5000,US Cloud : Sev1 : Network : TCS_Mgmt_FPK_9K :DC : Franklin Park Device : FPKNWSTK01.tcscloud.com Interface : GigabitEthernet1/0/38 Output Errors : 2.292669E+07 errors This Hour,4/10/2019 1:03 AM,98,Triggered,30.00 m,Interface,FPKNWSTK01.tcscloud.com,172.26.0.1,Franklin Park,Network,Cisco,Cisco Catalyst 38xx stack,TCS Mgmt,US,TCS_Mgmt_FPK_9K,4/10/2019 1:03 AM,
Arconic_9K : Sev2 : ESXi Host CPU Utilization is above 90%,US Cloud : VMware : Sev2 : usasparcesx31.us.tcscloud.com : CPU Utilization is above 90%.,4/10/2019 12:53 AM,204,Triggered,10.00 m,Virtual Host,USASPARCESX31.US.TCSCLOUD.COM,172.26.10.51,Ashburn,Windows,VMware Inc.,VMware ESX Server,,US,TCS_Mgmt_ASH_9K,4/10/2019 12:53 AM,Arconic_Alert
TCS_Mgmt_7K_Ashburn : Sev1 : Interface is down,US Cloud : Sev1 : Network : Node : NA-ASH-N5K-2a Interface : Ethernet101/1/32  is Down,4/10/2019 12:46 AM,7,Triggered,1.00 m,Interface,NA-ASH-N5K-2a,192.168.0.23,Ashburn,Network,Cisco,Cisco Nexus 5548,,US,TCS_Mgmt_ASH_7K,4/10/2019 12:46 AM,
Arconic_9K : Sev3 : File System Utilization above 85%,US Cloud : Sev3 : Linux : Arconic : Franklin Park : anpld150n.adr.valueaddco.com : File System /var is 85 %,4/10/2019 12:44 AM,8,Triggered,10.00 m,Volume,anpld150n.adr.valueaddco.com,10.14.196.25,Franklin Park,Linux,Linux,OracleServer,Development,US,Arconic,4/10/2019 12:44 AM,Arconic_Alert_Console
Alcoa_7K : Sev2 : Memory Utilization is above 90%,US Cloud : VMware : Sev2 : ALCOA : usashpesx323.tcscloud.com : Memory Utilization is 90 %.,4/10/2019 12:24 AM,128,Triggered,10.00 m,Virtual Host,usashpesx323.tcscloud.com,10.106.0.36,Ashburn,Windows,VMware Inc.,VMware ESX Server,Production,US,TCS_Mgmt_ASH_7K,4/10/2019 12:24 AM,Alcoa_Alert_Console
Sev1 : Critical : CPU Utilization above 90%,US Cloud : Sev1 : Linux : Sensata : Ashburn : AMER : stia-obipld1.corp.sensata.com : CPU Load is 100 %,4/9/2019 11:38 PM,825,Triggered,3.00 m,Node,stia-obipld1.corp.sensata.com,10.100.20.25,Ashburn,Linux,net-snmp,net-snmp - Linux,Production,US,Sensata,4/9/2019 11:38 PM,Sensata_Alert
Alcoa_7K : Sev1 : Windows Availability,US Cloud : Sev1 : Unknown : ALCOA : Ashburn : NOAADC-PAMM402 is Down.,4/9/2019 10:35 PM,187,Triggered,0.25 m,Node,NOAADC-PAMM402,10.11.16.22,Ashburn,Windows,Unknown,Unknown,Production,US,ALCOA,4/9/2019 10:35 PM,Alcoa_Alert_Console
Sensata_Sev4 : CPU Utilization Virtual Servers above 80%,US Cloud : Sev4 : Windows : Sensata : Franklin Park : Virtual : stic-twstwr1 : CPU Load is 82 %,4/9/2019 10:35 PM,28,Triggered,6.00 m,Node,stic-twstwr1,10.100.74.82,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Test/Pre-Prod,US,Sensata,4/9/2019 10:35 PM,Sensata_Alert
Hardware component is in  Warning or critical state,US Cloud : Sev2 : Network_HW : DC : Ashburn Device : ASHNWLEA12.us.tcscloud.com Hardware : Power Supply Name :PSU 2 is Critical,4/9/2019 10:20 PM,1,Triggered,1.00 m,Hardware Sensor,ASHNWLEA12.us.tcscloud.com,172.26.1.34,Ashburn,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_ASH_9K,4/9/2019 10:20 PM,
TCS_Management Sev2 : Serious : VM CPU Utilization is above 95%,US Cloud : VMware : Sev2 : CPU Utilization of Guest VM pdc-al-lnx53 is above 95%,4/9/2019 10:05 PM,94,Triggered,10.00 m,Virtual Machine,PDC-AL-LNX53,10.192.24.62,Ashburn,Linux,Unknown,Unknown,,US,Air Liquide,4/9/2019 10:05 PM,
Alcoa_7K : Sev1 : Windows Availability,US Cloud : Sev1 : Unknown : ALCOA : Ashburn : noaadc-pamm401.noa.alcoa.com is Down.,4/9/2019 10:04 PM,165,Triggered,0.25 m,Node,noaadc-pamm401.noa.alcoa.com,10.11.16.21,Ashburn,Windows,Unknown,Unknown,Production,US,ALCOA,4/9/2019 10:04 PM,Alcoa_Alert_Console
TCS_Mgmt_FPK_9K : Sev3 : Interface Input Errors (1001 - 3000)(Mail_only),US Cloud :  Sev3 : Network : TCS_Mgmt_FPK_9K : DC : Franklin Park Device : FPKNWLEA08.us.tcscloud.com Interface : Ethernet1/50 Input Errors per hour is 1628 errors,4/9/2019 10:03 PM,141,Triggered,30.00 m,Interface,FPKNWLEA08.us.tcscloud.com,172.26.0.30,Franklin Park,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_FPK_9K,4/9/2019 10:03 PM,
TCS_Mgmt_Ashburn_9K : Sev1 : Interface Output Errors above 5000,US Cloud : Sev1 : Network : TCS_Mgmt_ASH_9K :DC : Ashburn Device : ASHNWSTK01.us.tcscloud.com Interface : GigabitEthernet1/0/40 Output Errors : 967148 errors This Hour,4/10/2019 7:03 AM,214,Triggered,30.00 m,Interface,ASHNWSTK01.us.tcscloud.com,172.26.1.1,Ashburn,Network,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,Production,US,TCS_Mgmt_ASH_9K,4/9/2019 9:33 PM,
Sev2 : ESXi Host CPU Utilization is above 90%,US Cloud : VMware : Sev2 : usaspsenesx12.us.tcscloud.com : CPU Utilization is above 90%.,4/9/2019 9:24 PM,24,Triggered,10.00 m,Virtual Host,USASPSENESX12.us.tcscloud.com,172.26.10.47,Ashburn,Windows,VMware Inc.,VMware ESX Server,,US,TCS_Mgmt_ASH_9K,4/9/2019 9:24 PM,
TCS_Mgmt_FPK_9K : Sev1 : Interface Output Errors above 5000,US Cloud : Sev1 : Network : TCS_Mgmt_FPK_9K :DC : Franklin Park Device : FPKNWSTK01.tcscloud.com Interface : GigabitEthernet1/0/4 Output Errors : 41818 errors This Hour,4/10/2019 2:03 AM,16,Triggered,30.00 m,Interface,FPKNWSTK01.tcscloud.com,172.26.0.1,Franklin Park,Network,Cisco,Cisco Catalyst 38xx stack,TCS Mgmt,US,TCS_Mgmt_FPK_9K,4/9/2019 9:03 PM,
TCS_Mgmt_FPK_7K_Storage_MailOnly : Sev2 : Fabric : Interface is down,"[{""Key"":""ActionTitle"",""Value"":""Resolved : US Cloud : Storage : Sev2 : Fabric Name FPDSWPRDCX4-2 : Interface FC port 1\/14 is Up""},{""Key"":""ErrorMessage"",""Value"":""The transport failed to connect to the server.\u000d\u000a""}]",4/9/2019 7:41 PM,25,ActionFailed,2.00 m,Interface,FPDSWPRDCX4-2,10.200.0.170,Franklin Park,Storage,"Brocade Communications Systems, Inc.",Brocade SilkWorm Switch,Production,US,TCS_Mgmt_FPK_7K,4/9/2019 7:46 PM,
TCS_Mgmt_FPK_7K_Storage_MailOnly : Sev2 : Fabric : Interface is down,"[{""Key"":""ActionTitle"",""Value"":""Resolved : US Cloud : Storage : Sev2 : Fabric Name FPDSWPRDCX4-1 : Interface FC port 1\/14 is Up""},{""Key"":""ErrorMessage"",""Value"":""The transport failed to connect to the server.\u000d\u000a""}]",4/9/2019 7:41 PM,25,ActionFailed,2.00 m,Interface,FPDSWPRDCX4-1,10.200.0.159,Franklin Park,Storage,"Brocade Communications Systems, Inc.",Brocade SilkWorm Switch,Production,US,TCS_Mgmt_FPK_7K,4/9/2019 7:46 PM,
TCS_Mgmt_FPK_7K_Storage_MailOnly : Sev2 : Fabric : Interface is down,US Cloud : Storage : Sev2 : Fabric Name FPDSWPRDCX4-1 : Interface FC port 1/14 is Down,4/9/2019 7:41 PM,25,Triggered,2.00 m,Interface,FPDSWPRDCX4-1,10.200.0.159,Franklin Park,Storage,"Brocade Communications Systems, Inc.",Brocade SilkWorm Switch,Production,US,TCS_Mgmt_FPK_7K,4/9/2019 7:41 PM,
TCS_Mgmt_FPK_7K_Storage_MailOnly : Sev2 : Fabric : Interface is down,US Cloud : Storage : Sev2 : Fabric Name FPDSWPRDCX4-2 : Interface FC port 1/14 is Down,4/9/2019 7:41 PM,25,Triggered,2.00 m,Interface,FPDSWPRDCX4-2,10.200.0.170,Franklin Park,Storage,"Brocade Communications Systems, Inc.",Brocade SilkWorm Switch,Production,US,TCS_Mgmt_FPK_7K,4/9/2019 7:41 PM,
TCS_Mgmt_Ashburn_9K : Sev1 : Interface Output Errors above 5000,US Cloud : Sev1 : Network : TCS_Mgmt_ASH_9K :DC : Ashburn Device : ASHNWSTK01.us.tcscloud.com Interface : GigabitEthernet2/0/25 Output Errors : 50530 errors This Hour,4/9/2019 7:33 PM,32,Triggered,30.00 m,Interface,ASHNWSTK01.us.tcscloud.com,172.26.1.1,Ashburn,Network,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,Production,US,TCS_Mgmt_ASH_9K,4/9/2019 7:33 PM,
Sensata_Sev4 : File System Utilization above 80%,US Cloud : Sev4 : Linux : Sensata : Franklin Park : AMER : stic-ascdla1.corp.sensata.com : File System /var is above 81 %,4/9/2019 7:17 PM,34,Triggered,4.00 m,Volume,stic-ascdla1.corp.sensata.com,10.100.74.26,Franklin Park,Linux,net-snmp,net-snmp - Linux,Development,US,Sensata,4/9/2019 7:17 PM,Sensata_Alert
Cardinal_Sev1 : Windows Availability,US Cloud - Cardinal : Sev2 : Windows : Production : WPTCSVA9PATC01 is Down.,4/9/2019 6:07 PM,1,Triggered,1.00 m,Node,WPTCSVA9PATC01,10.234.61.241,Ashburn,Windows,Windows,Windows 2012 R2 Server,Production,US,Cardinal,4/9/2019 6:07 PM,Cardinal_Alerts
TCS_Management Sev2 : Serious : VM CPU Utilization is above 95%,US Cloud : VMware : Sev2 : CPU Utilization of Guest VM ccttecchi013 is above 95%,4/9/2019 5:35 PM,390,Triggered,10.00 m,Virtual Machine,CCTTECCHI013,10.13.115.23,Franklin Park,Linux,net-snmp,net-snmp - Linux,Production,US,eMEDS,4/9/2019 5:35 PM,
Sev2 : Major : File System Utilization above 80%,US Cloud : Sev2 : Linux : Sensata : Ashburn : AMER : stia-ebspla2.corp.sensata.com : File System /tmp is above 81 %,4/9/2019 5:08 PM,50,Triggered,4.00 m,Volume,stia-ebspla2.corp.sensata.com,10.100.10.12,Ashburn,Linux,net-snmp,net-snmp - Linux,Production,US,Sensata,4/9/2019 5:08 PM,Sensata_Alert
Arconic_9K : Sev2 : Memory Utilization is above 90%,US Cloud : VMware : Sev2 : TCS_Mgmt_ASH_9K : usasparcesx05.us.tcscloud.com : Memory Utilization is 91 %.,4/9/2019 4:33 PM,14,Triggered,10.00 m,Virtual Host,USASPARCESX05.US.TCSCLOUD.COM,172.26.10.25,Ashburn,Windows,VMware Inc.,VMware ESX Server,,US,TCS_Mgmt_ASH_9K,4/9/2019 4:33 PM,Arconic_Alert
